signature	EntrezGene.ID	coefficient
PTEN	27238	1
PTEN	50861	-1
PTEN	728564	1
PTEN	1503	1
PTEN	54556	-1
PTEN	1265	-1
PTEN	11169	1
PTEN	4172	1
PTEN	9037	-1
PTEN	10383	1
PTEN	1889	-1
PTEN	10121	-1
PTEN	6228	-1
PTEN	9392	1
PTEN	9787	1
PTEN	151246	1
PTEN	3705	-1
PTEN	891	1
PTEN	83700	-1
PTEN	5984	1
PTEN	9037	-1
PTEN	5718	1
PTEN	8897	-1
PTEN	23111	-1
PTEN	29105	1
PTEN	54906	1
PTEN	6732	1
PTEN	5870	1
PTEN	4172	1
PTEN	81610	1
PTEN	57380	1
PTEN	3066	1
PTEN	2618	1
PTEN	25852	1
PTEN	64793	1
PTEN	23279	1
PTEN	6632	1
PTEN	10972	-1
PTEN	8450	-1
PTEN	6228	-1
PTEN	9133	1
PTEN	7159	1
PTEN	6434	1
PTEN	151636	1
PTEN	4094	-1
PTEN	151188	1
PTEN	4629	-1
PTEN	5873	1
PTEN	2999	1
PTEN	8681	-1
PTEN	5111	1
PTEN	5359	1
PTEN	79694	1
PTEN	55248	1
PTEN	84955	1
PTEN	10606	1
PTEN	4259	1
PTEN	51028	-1
PTEN	4038	-1
PTEN	1503	1
PTEN	64844	1
PTEN	2281	-1
PTEN	200734	-1
PTEN	10541	1
PTEN	92342	1
PTEN	64789	1
PTEN	6397	1
PTEN	11257	-1
PTEN	9044	-1
PTEN	9232	1
PTEN	7284	-1
PTEN	10440	1
PTEN	10951	1
PTEN	54845	1
PTEN	3192	1
PTEN	54838	-1
PTEN	1848	-1
PTEN	10963	1
PTEN	6772	1
PTEN	387103	1
PTEN	6426	1
PTEN	2767	-1
PTEN	9897	-1
PTEN	3608	1
PTEN	1848	-1
PTEN	25794	-1
PTEN	9928	1
PTEN	6941	1
PTEN	29028	1
PTEN	3833	1
PTEN	89122	-1
PTEN	1889	-1
PTEN	219285	1
PTEN	699	1
PTEN	8576	-1
PTEN	8532	1
PTEN	7936	1
PTEN	10589	1
PTEN	219988	1
PTEN	374868	-1
PTEN	8848	-1
PTEN	10540	-1
PTEN	3983	-1
PTEN	5889	1
PTEN	6790	1
PTEN	10975	-1
PTEN	55827	1
PTEN	60313	1
PTEN	55662	-1
PTEN	6228	-1
PTEN	54531	-1
PTEN	11329	-1
PTEN	6619	1
PTEN	157313	1
PTEN	11337	-1
PTEN	5159	-1
PTEN	5797	-1
PTEN	3796	1
PTEN	9493	1
PTEN	7444	1
PTEN	29979	1
PTEN	29127	1
PTEN	80031	-1
PTEN	9232	1
PTEN	1889	-1
PTEN	54014	1
PTEN	79894	1
PTEN	29028	1
PTEN	9582	1
PTEN	5718	1
PTEN	3925	1
PTEN	5797	-1
PTEN	221981	-1
PTEN	4175	1
PTEN	9252	-1
PTEN	51773	1
PTEN	79628	-1
PTEN	54534	1
PTEN	79572	1
PTEN	54625	1
PTEN	55101	-1
PTEN	1311	-1
PTEN	3983	-1
PTEN	8317	1
PTEN	10206	-1
PTEN	27122	-1
PTEN	6596	1
AKTmTOR	535	1
AKTmTOR	9474	1
AKTmTOR	998	1
AKTmTOR	475	1
AKTmTOR	5327	1
AKTmTOR	6427	1
AKTmTOR	5987	1
AKTmTOR	5518	1
AKTmTOR	3948	1
AKTmTOR	3838	1
AKTmTOR	2990	1
AKTmTOR	5476	1
AKTmTOR	27069	1
AKTmTOR	2222	1
AKTmTOR	896	1
AKTmTOR	7167	1
AKTmTOR	7167	1
AKTmTOR	10938	1
AKTmTOR	3190	1
AKTmTOR	2171	1
AKTmTOR	2171	1
AKTmTOR	51155	1
AKTmTOR	934	1
AKTmTOR	934	1
AKTmTOR	7351	1
AKTmTOR	928	1
AKTmTOR	27166	1
AKTmTOR	27166	1
AKTmTOR	5214	1
AKTmTOR	7534	1
AKTmTOR	7534	1
AKTmTOR	7534	1
AKTmTOR	6241	1
AKTmTOR	6241	1
AKTmTOR	50814	1
AKTmTOR	10095	1
AKTmTOR	5695	1
AKTmTOR	11258	1
AKTmTOR	2937	1
AKTmTOR	9551	1
AKTmTOR	529	1
AKTmTOR	5356	1
AKTmTOR	4717	1
AKTmTOR	9516	1
AKTmTOR	4259	1
AKTmTOR	81614	1
AKTmTOR	4282	1
